Team,Player Name,Full Name,Born,Current Age,Batting Style,Bowling Style,Batting_Test_matches,Batting_Test_Innings,Batting_Test_Runs,Batting_Test_Avg,Batting_ODI_Matches,Batting_ODI_Innings,Batting_ODI_Runs,Batting_ODI_Highest,Batting_ODI_Avg,Batting_TESTs_Highest,Batting_T20I_Matches,Batting_T20I_Innings,Batting_T20I_runs,Batting_T20I_Highest,Batting_T20I_Avg,Batting_T20_Matches,Batting_T20_Innings,Batting_T20_Runs,Batting_T20_Highest,Batting_T20_average,Test_Debut,ODI_Debut,T20 Debut,Image URL-src,T20I_Debut
West Indies,KAJ Roach,Kemar Andre Jamal Roach,"June 30, 1988, St. Lucy, Barbados",26 years 152 days,Right-hand bat,Right-arm fast,28,44,329,9.13,64,41,216,34,13.5,41,11,1,3,NA,-,37,9,45,12,7.5,"West Indies v Bangladesh at Kingstown, Jul 9-13, 2009 scorecard","Bermuda v West Indies at King City (NW), Aug 20, 2008 scorecard","West Indies v Australia at Bridgetown, Jun 20, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800491.html?alt=3,"West Indies v Australia at Bridgetown, Jun 20, 2008 scorecard"
West Indies,K Santokie,Krishmar Santokie,"December 20, 1984, Clarendon, Jamaica",29 years 344 days,Left-hand bat,Left-arm medium,12,1,0,-,14,4,18,8*,6,NA,67,16,75,22,7.5,NA,NA,NA,NA,NA,NA,NA,"Jamaica v Ireland at Florence Hall, Apr 10, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/728897.html,"England v West Indies at The Oval, Sep 25, 2011 scorecard"
West Indies,J Charles,Johnson Charles,"January 14, 1989, St Lucia",25 years 319 days,Wicketkeeper,Right-hand bat,30,30,869,28.96,21,20,429,84,21.45,130,24,47,750,66,17.44,NA,NA,NA,NA,NA,NA,"West Indies v Australia at Kingstown, Mar 16, 2012 scorecard","Cayman Islands v St Lucia at Coolidge, Jan 26, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/562228.html?alt=1,"England v West Indies at The Oval, Sep 23, 2011 scorecard"
West Indies,DM Bravo,Darren Michael Bravo,"February 6, 1989, Trinidad",25 years 296 days,Left-hand bat,Right-arm medium-fast,32,57,2311,43.6,79,76,2171,124,32.4,218,12,11,235,42,21.36,73,67,1680,NA,33.6,"Sri Lanka v West Indies at Galle, Nov 15-19, 2010 scorecard","West Indies v India at Kingston, Jun 26, 2009 scorecard","Middlesex v Trinidad & Tobago at Coolidge, Oct 27, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800483.html?alt=3,"West Indies v Zimbabwe at Port of Spain, Feb 28, 2010 scorecard"
West Indies,DR Smith,Dwayne Romel Smith,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",31 years 231 days,Right-hand bat,Right-arm medium,10,14,320,24.61,94,78,1338,97,18.32,NA,30,29,540,72,18.62,209,202,4775,NA,26.23,"South Africa v West Indies at Cape Town, Jan 2-6, 2004 scorecard","South Africa v West Indies at Cape Town, Jan 25, 2004 scorecard","New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/728891.html,"New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard"
West Indies,ST Gabriel,Shannon Terry Gabriel,"April 28, 1988, Trinidad",26 years 215 days,Right-hand bat,Right-arm fast-medium,9,11,18,2.25,2,-,-,-,-,13,52,68,169,14,4.22,NA,NA,NA,NA,NA,"England v West Indies at Lord's, May 17-21, 2012 scorecard",NA,"West Indies A v Zimbabwe at St George's, Apr 22, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/563011.html?alt=1,"West Indies v Zimbabwe at North Sound, Mar 3, 2013 scorecard"
West Indies,SP Narine,Sunil Philip Narine,"May 26, 1988, Trinidad",26 years 187 days,Left-hand bat,Right-arm offbreak,6,7,40,8,52,35,282,36,10.84,NA,32,12,63,28,12.6,144,45,242,28,10.08,"England v West Indies at Birmingham, Jun 7-11, 2012 scorecard","India v West Indies at Ahmedabad, Dec 5, 2011 scorecard","Hampshire v Trinidad & Tobago at Bridgetown, Jan 19, 2011 scorecard",http://www.espncricinfo.com/inline/content/image/800489.html?alt=3,"West Indies v Australia at Gros Islet, Mar 27, 2012 scorecard"
West Indies,ADS Fletcher,Andre David Stephon Fletcher,"November 28, 1987, La Tante, Grenada",27 years 1 days,Wicketkeeper,Right-hand bat,15,15,256,17.06,21,21,345,62,18.15,54,56,102,2772,123,28.87,NA,NA,NA,NA,NA,NA,"West Indies v Australia at Kingstown, Jun 24, 2008 scorecard","Dominica v Grenada at Coolidge, Jul 14, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/512308.html?alt=1,"West Indies v Australia at Bridgetown, Jun 20, 2008 scorecard"
West Indies,JE Taylor,Jerome Everton Taylor,"June 22, 1984, St Elizabeth, Jamaica",30 years 160 days,Bowler,Right-hand bat,34,53,721,15.34,69,32,215,43*,8.6,106,17,9,47,NA,11.75,48,20,102,17,8.5,"West Indies v Sri Lanka at Gros Islet, Jun 20-24, 2003 scorecard","West Indies v Sri Lanka at Kingstown, Jun 11, 2003 scorecard","New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/457489.html?alt=1,"New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard"
West Indies,MN Samuels,Marlon Nathaniel Samuels,"February 5, 1981, Kingston, Jamaica",33 years 297 days,Batsman,Right-hand bat,52,92,2983,34.68,162,152,4205,126*,32.85,260,35,33,834,NA,29.78,102,100,2432,NA,30.4,"Australia v West Indies at Adelaide, Dec 15-19, 2000 scorecard","Sri Lanka v West Indies at Nairobi (Gym), Oct 4, 2000 scorecard","Bermuda v Jamaica at Coolidge, Jul 21, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/513161.html?alt=1,"England v West Indies at The Oval, Jun 28, 2007 scorecard"
West Indies,AD Russell,Andre Dwayne Russell,"April 29, 1988, Jamaica",26 years 214 days,Right-hand bat,Right-arm fast,1,1,2,2,38,31,717,92*,28.68,2,30,22,162,NA,11.57,122,96,1580,NA,23.58,NA,"Ireland v West Indies at Mohali, Mar 11, 2011 scorecard","Jamaica v Ireland at Florence Hall, Apr 10, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/800485.html?alt=3,"West Indies v Pakistan at Gros Islet, Apr 21, 2011 scorecard"
West Indies,DJ Bravo,Dwayne John Bravo,"October 7, 1983, Santa Cruz, Trinidad",31 years 53 days,Johnny,Allrounder,40,71,2200,31.42,164,141,2968,112*,25.36,113,50,45,906,NA,26.64,221,182,3676,NA,27.43,"England v West Indies at Lord's, Jul 22-26, 2004 scorecard","West Indies v England at Georgetown, Apr 18, 2004 scorecard","New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800689.html?alt=3,"New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard"
West Indies,S Badree,Samuel Badree,"March 9, 1981, Barrackpore, Trinidad",33 years 265 days,Bowler,Right-hand bat,22,5,24,12,12,19,323,55,17.94,NA,33,23,177,29,9.83,NA,NA,NA,NA,NA,NA,NA,"Cayman Islands v Trinidad & Tobago at Coolidge, Jul 25, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800513.html?alt=3,"New Zealand v West Indies at Lauderhill, Jun 30, 2012 scorecard"
West Indies,SS Cottrell,Sheldon Shane Cottrell,19-Aug-89,25 years 102 days,Right-hand bat,Left-arm fast-medium,1,2,5,2.5,3,-,-,-,-,5,28,40,337,NA,16.04,NA,NA,NA,NA,NA,NA,NA,"Jamaica v Windward Islands at Bridgetown, Jan 23, 2011 scorecard",http://www.espncricinfo.com/inline/content/image/728899.html,"West Indies v England at Bridgetown, Mar 13, 2014 scorecard"
West Indies,LR Johnson,Leon Rayon Johnson,"August 8, 1987, Georgetown, Demerara",27 years 113 days,Left-hand bat,Legbreak,1,2,107,53.5,3,3,79,51,26.33,66,53,92,2936,144,33.36,NA,NA,NA,NA,NA,NA,"Bermuda v West Indies at King City (NW), Aug 20, 2008 scorecard","Guyana v Leeward Islands at North Sound, Jan 9, 2012 scorecard",http://www.espncricinfo.com/inline/content/image/601552.html?alt=1,NA
West Indies,SJ Benn,Sulieman Jamaal Benn,"July 22, 1981, Haynesville, St James, Barbados",33 years 130 days,Allrounder,Left-hand bat,22,33,463,15.43,28,18,110,31,7.85,42,17,7,37,NA,12.33,71,27,167,21,9.27,"West Indies v Sri Lanka at Providence, Mar 22-26, 2008 scorecard","West Indies v Sri Lanka at Port of Spain, Apr 10, 2008 scorecard","Anguilla v Barbados at Coolidge, Jul 18, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800701.html?alt=3,"West Indies v Australia at Bridgetown, Jun 20, 2008 scorecard"
West Indies,KA Edwards,Kirk Anton Edwards,"November 3, 1984, Barbados",30 years 26 days,Right-hand bat,Right-arm offbreak,17,32,986,31.8,16,16,331,123*,23.64,121,69,117,4191,190,37.75,NA,NA,NA,NA,NA,"West Indies v India at Roseau, Jul 6-10, 2011 scorecard","India v West Indies at Chennai, Mar 20, 2011 scorecard","West Indies A v Zimbabwe at St George's, Apr 22, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/502563.html?alt=1,NA
West Indies,KC Brathwaite,Kraigg Clairmonte Brathwaite,"December 1, 1992, Black Rock, St Michael, Barbados",21 years 363 days,BoBo,Opening batsman,14,27,956,38.24,66,113,4464,212,43.33,212,16,16,402,63,30.92,NA,NA,NA,NA,NA,"West Indies v Pakistan at Basseterre, May 20-24, 2011 scorecard",NA,NA,http://www.espncricinfo.com/inline/content/image/515866.html?alt=1,NA
West Indies,DJG Sammy,Darren Julius Garvey Sammy,"December 20, 1983, Micoud, St Lucia",30 years 344 days,Allrounder,Right-hand bat,38,63,1323,21.68,115,96,1587,84,23.68,106,55,42,483,NA,16.65,142,119,1647,60,19.37,"England v West Indies at Manchester, Jun 7-11, 2007 scorecard","New Zealand v West Indies at Southampton, Jul 8, 2004 scorecard","British Virgin Islands v St Lucia at Coolidge, Jul 12, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800693.html?alt=3,"England v West Indies at The Oval, Jun 28, 2007 scorecard"
West Indies,CH Gayle,Christopher Henry Gayle,"September 21, 1979, Kingston, Jamaica",35 years 69 days,Allrounder,Left-hand bat,103,182,7214,42.18,258,253,8810,153*,37.33,333,43,41,1239,117,32.6,191,187,6787,NA,41.89,"West Indies v Zimbabwe at Port of Spain, Mar 16-20, 2000 scorecard","India v West Indies at Toronto, Sep 11, 1999 scorecard","Chilaw Marians Cricket Club v PCA Masters XI at Leicester, Sep 15, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/800705.html?alt=3,"New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard"
West Indies,D Ramdin,Denesh Ramdin,"March 13, 1985, Couva, Trinidad",29 years 261 days,Shotter,Wicketkeeper,61,102,2419,27.17,115,87,1671,169,24.94,166,49,31,342,NA,15.54,128,87,1363,84,20.65,"Sri Lanka v West Indies at Colombo (SSC), Jul 13-16, 2005 scorecard","India v West Indies at Dambulla, Jul 31, 2005 scorecard","New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800493.html?alt=3,"New Zealand v West Indies at Auckland, Feb 16, 2006 scorecard"
Zimbabwe,LM Jongwe,Luke Mafuwa Jongwe,"February 6, 1995, Harare",19 years 296 days,Right-hand bat,Right-arm medium,3,3,27,9,12,19,359,132*,19.94,19,14,13,288,56,24,NA,NA,NA,NA,NA,NA,"Zimbabwe v South Africa at Bulawayo, Aug 17, 2014 scorecard",NA,http://www.espncricinfo.com/inline/content/image/721651.html?alt=1,NA
Zimbabwe,P Utseya,Prosper Utseya,"March 26, 1985, Harare",29 years 248 days,Bowler,Right-hand bat,4,8,107,15.28,160,129,1385,68*,16.89,45,29,17,66,NA,6,78,51,339,NA,11.3,"Zimbabwe v Sri Lanka at Harare, May 6-8, 2004 scorecard","Zimbabwe v Sri Lanka at Bulawayo, Apr 20, 2004 scorecard","Bangladesh v Zimbabwe at Khulna, Nov 28, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800553.html?alt=3,"Bangladesh v Zimbabwe at Khulna, Nov 28, 2006 scorecard"
Zimbabwe,TL Chatara,Tendai Larry Chatara,"February 28, 1991, Chimanimani",23 years 274 days,Right-hand bat,Right-arm fast-medium,7,14,82,6.83,20,12,76,23,19,22,7,-,-,-,-,24,4,4,2,4,"West Indies v Zimbabwe at Bridgetown, Mar 12-14, 2013 scorecard","West Indies v Zimbabwe at St George's, Feb 24, 2013 scorecard","Mountaineers v Mid West Rhinos at Harare, Feb 12, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/800745.html?alt=3,"Zimbabwe v India at Harare, Jun 13, 2010 scorecard"
Zimbabwe,BV Vitori,Brian Vitalis Vitori,"February 22, 1990, Masvingo",24 years 280 days,Left-hand bat,Left-arm fast-medium,4,7,52,10.4,15,9,55,20*,7.85,NA,6,2,8,NA,-,16,4,12,NA,6,"Zimbabwe v Bangladesh at Harare, Aug 4-8, 2011 scorecard","Zimbabwe v Bangladesh at Harare, Aug 12, 2011 scorecard","Southerns v Westerns at Harare, Mar 19, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800729.html?alt=3,"Sri Lanka v Zimbabwe at Hambantota, Sep 18, 2012 scorecard"
Zimbabwe,T Kamungozi,Tafadzwa Kamungozi,"June 8, 1987, Harare",27 years 174 days,Faffie,Allrounder,1,2,5,2.5,10,8,19,12*,4.75,5,1,-,-,-,-,26,11,34,13,3.77,NA,"South Africa v Zimbabwe at Potchefstroom, Sep 20, 2006 scorecard","Eagles v Zimbabweans at Kimberley, Sep 13, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/727103.html?alt=1,NA
Zimbabwe,CR Ervine,Craig Richard Ervine,"August 19, 1985, Harare",29 years 102 days,Middle-order batsman,Left-hand bat,7,14,286,23.83,25,23,702,85,35.1,49,7,6,127,37,21.16,34,28,558,71,25.36,"Zimbabwe v Bangladesh at Harare, Aug 4-8, 2011 scorecard","Zimbabwe v India at Bulawayo, May 28, 2010 scorecard","Southern Rocks v Desert Vipers at Harare, Feb 13, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/800629.html?alt=3,"Sri Lanka v Zimbabwe at Providence, May 3, 2010 scorecard"
Zimbabwe,MN Waller,Malcolm Noel Waller,"September 28, 1984, Harare",30 years 62 days,Right-hand bat,Right-arm offbreak,9,18,396,23.29,45,41,818,99*,21.52,NA,11,10,159,49,19.87,47,40,733,73,22.21,"Zimbabwe v New Zealand at Bulawayo, Nov 1-5, 2011 scorecard","Bangladesh v Zimbabwe at Dhaka, Jan 19, 2009 scorecard","Centrals v Easterns (Zimbabwe) at Harare, Mar 19, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800727.html?alt=3,"Zimbabwe v New Zealand at Harare, Oct 15, 2011 scorecard"
